age,job,marital,education,balance,housing,loan,campaign,previous,poutcome,deposit
45,entrepreneur,divorced,tertiary,-395,yes,no,1,0,unknown,yes
36,blue-collar,married,secondary,1165,yes,no,4,0,unknown,yes
52,management,married,unknown,2240,yes,no,1,0,unknown,yes
35,blue-collar,divorced,primary,300,yes,no,2,0,unknown,yes
43,technician,married,secondary,3285,yes,no,2,0,unknown,yes
52,housemaid,married,secondary,3923,yes,no,3,0,unknown,yes
53,technician,divorced,primary,1443,yes,no,1,0,unknown,yes
48,blue-collar,divorced,primary,24,yes,no,1,0,unknown,yes
41,blue-collar,single,primary,1618,yes,no,1,0,unknown,yes
39,management,divorced,tertiary,517,yes,yes,1,0,unknown,yes
59,retired,married,secondary,1521,yes,yes,2,0,unknown,yes
41,blue-collar,married,secondary,2823,yes,no,1,0,unknown,yes
48,blue-collar,married,secondary,1405,yes,no,2,0,unknown,yes
40,admin.,married,secondary,1535,yes,no,1,0,unknown,yes
48,blue-collar,married,secondary,1596,yes,no,1,0,unknown,yes
60,retired,married,primary,1542,yes,no,1,0,unknown,yes
40,technician,single,unknown,3652,yes,no,2,0,unknown,yes
57,technician,married,tertiary,-1,no,no,2,0,unknown,yes
51,blue-collar,married,secondary,7180,yes,no,1,0,unknown,yes
41,blue-collar,divorced,secondary,5291,yes,no,3,0,unknown,yes
41,blue-collar,married,secondary,1384,yes,no,4,0,unknown,yes
52,blue-collar,divorced,primary,-191,yes,no,1,0,unknown,yes
59,blue-collar,married,primary,320,yes,no,1,0,unknown,yes
44,blue-collar,married,unknown,146,yes,no,1,0,unknown,yes
49,unknown,married,primary,341,yes,yes,2,0,unknown,yes
40,services,married,primary,-9,yes,no,2,0,unknown,yes
41,admin.,married,primary,-306,yes,no,1,0,unknown,yes
44,technician,married,tertiary,4580,yes,no,2,0,unknown,yes
60,services,single,primary,313,yes,no,2,0,unknown,yes
29,management,married,tertiary,10576,no,no,2,0,unknown,yes
41,retired,divorced,primary,-233,yes,no,2,0,unknown,yes
41,blue-collar,married,primary,2453,yes,no,1,0,unknown,yes
42,technician,single,secondary,1364,yes,no,6,0,unknown,yes
36,services,single,unknown,281,yes,no,1,0,unknown,yes
39,technician,married,tertiary,94,yes,yes,1,0,unknown,yes
31,self-employed,single,tertiary,144,yes,no,1,0,unknown,yes
26,blue-collar,married,secondary,246,yes,no,3,0,unknown,yes
31,blue-collar,married,secondary,92,yes,no,1,0,unknown,yes
29,admin.,single,secondary,163,yes,yes,1,0,unknown,yes
37,services,divorced,secondary,49,yes,no,2,0,unknown,yes
33,blue-collar,single,secondary,-416,yes,no,2,0,unknown,yes
24,technician,single,secondary,409,yes,no,1,0,unknown,yes
50,admin.,divorced,secondary,363,yes,no,1,0,unknown,yes
27,technician,single,tertiary,3706,yes,no,1,0,unknown,yes
54,management,single,tertiary,4393,yes,no,3,0,unknown,yes
30,technician,single,secondary,863,yes,no,5,0,unknown,yes
34,blue-collar,married,primary,695,yes,yes,4,0,unknown,yes
37,management,single,secondary,792,yes,no,4,0,unknown,yes
41,admin.,single,secondary,1020,yes,no,1,0,unknown,yes
47,blue-collar,married,secondary,863,yes,no,2,0,unknown,yes
31,admin.,married,secondary,97,yes,no,1,0,unknown,yes
31,blue-collar,married,secondary,754,yes,no,4,0,unknown,yes
43,services,divorced,secondary,1040,yes,no,3,0,unknown,yes
37,management,divorced,tertiary,122,yes,no,2,0,unknown,yes
30,technician,single,tertiary,880,yes,yes,6,0,unknown,yes
41,technician,married,secondary,501,yes,no,5,0,unknown,yes
36,blue-collar,married,secondary,4438,yes,no,1,0,unknown,yes
35,blue-collar,divorced,secondary,0,yes,no,1,0,unknown,yes
29,services,single,secondary,271,yes,no,2,0,unknown,yes
35,blue-collar,married,primary,102,yes,no,1,0,unknown,yes
31,blue-collar,married,secondary,2,yes,no,2,0,unknown,yes
35,services,married,secondary,4170,yes,no,1,0,unknown,yes
34,technician,single,secondary,85,yes,no,4,0,unknown,yes
31,admin.,single,secondary,431,yes,yes,1,0,unknown,yes
44,technician,divorced,secondary,982,yes,no,3,0,unknown,yes
36,blue-collar,married,primary,408,yes,yes,2,0,unknown,yes
35,blue-collar,married,unknown,4822,yes,no,2,0,unknown,yes
41,blue-collar,married,primary,1250,yes,no,2,0,unknown,yes
31,blue-collar,single,primary,216,yes,no,1,0,unknown,yes
34,blue-collar,married,secondary,1207,yes,no,1,0,unknown,yes
32,technician,married,secondary,791,yes,no,2,0,unknown,yes
36,management,married,tertiary,849,yes,yes,2,0,unknown,yes
30,blue-collar,single,secondary,239,yes,no,1,0,unknown,yes
37,technician,single,secondary,1211,yes,no,1,0,unknown,yes
36,blue-collar,married,primary,599,yes,no,2,0,unknown,yes
31,management,single,tertiary,825,yes,no,2,0,unknown,yes
27,technician,married,secondary,2183,yes,yes,1,0,unknown,yes
34,retired,married,primary,4499,no,no,1,0,unknown,yes
30,technician,single,tertiary,1289,yes,no,2,0,unknown,yes
32,technician,single,tertiary,4665,yes,no,2,0,unknown,yes
37,technician,single,secondary,3326,yes,no,1,0,unknown,yes
32,blue-collar,married,secondary,783,yes,no,3,0,unknown,yes
33,blue-collar,married,secondary,0,yes,no,3,0,unknown,yes
35,blue-collar,married,primary,994,yes,no,8,0,unknown,yes
35,self-employed,divorced,tertiary,1354,yes,no,2,0,unknown,yes
30,blue-collar,single,secondary,239,yes,no,1,0,unknown,yes
45,blue-collar,divorced,primary,-311,yes,no,1,0,unknown,yes
45,admin.,married,secondary,149,yes,no,3,0,unknown,yes
33,blue-collar,married,secondary,1464,yes,no,3,0,unknown,yes
44,management,divorced,tertiary,5773,no,no,6,0,unknown,yes
40,blue-collar,married,primary,278,yes,no,3,0,unknown,yes
31,blue-collar,married,secondary,2910,yes,no,2,0,unknown,yes
30,technician,married,tertiary,541,yes,no,2,0,unknown,yes
44,technician,divorced,secondary,1262,yes,no,11,0,unknown,yes
34,services,married,secondary,-538,yes,no,1,0,unknown,yes
37,blue-collar,married,secondary,125,no,no,2,0,unknown,yes
28,self-employed,single,tertiary,0,yes,no,2,0,unknown,yes
32,admin.,single,secondary,620,yes,no,3,0,unknown,yes
37,blue-collar,divorced,secondary,316,yes,no,2,0,unknown,yes
34,management,married,tertiary,2287,yes,no,4,0,unknown,yes
38,admin.,divorced,secondary,198,yes,no,2,0,unknown,yes
28,admin.,single,secondary,460,yes,no,6,0,unknown,yes
31,management,divorced,tertiary,1145,yes,no,4,0,unknown,yes
59,services,married,secondary,-22,yes,no,3,0,unknown,yes
24,blue-collar,married,secondary,685,yes,no,3,0,unknown,yes
26,services,single,secondary,901,yes,no,2,0,unknown,yes
59,retired,single,secondary,351,yes,no,5,0,unknown,yes
30,entrepreneur,single,primary,0,yes,yes,1,0,unknown,yes
37,admin.,married,secondary,274,yes,no,3,0,unknown,yes
30,admin.,single,secondary,-213,yes,yes,1,0,unknown,yes
25,blue-collar,married,secondary,97,yes,no,1,0,unknown,yes
44,services,divorced,secondary,51,yes,yes,2,0,unknown,yes
29,management,married,tertiary,314,no,no,2,0,unknown,yes
26,management,single,tertiary,6840,yes,no,2,0,unknown,yes
26,technician,single,secondary,668,yes,no,3,0,unknown,yes
27,services,single,secondary,54,yes,no,2,0,unknown,yes
25,self-employed,single,secondary,1242,yes,no,2,0,unknown,yes
28,management,married,secondary,292,yes,no,1,0,unknown,yes
23,services,single,secondary,665,yes,no,1,0,unknown,yes
34,management,single,tertiary,1058,yes,no,2,0,unknown,yes
28,student,single,secondary,949,yes,no,1,0,unknown,yes
51,entrepreneur,married,unknown,606,yes,no,9,0,unknown,yes
35,blue-collar,married,secondary,0,yes,yes,1,0,unknown,yes
35,admin.,married,secondary,404,yes,no,1,0,unknown,yes
56,blue-collar,married,secondary,249,yes,no,2,0,unknown,yes
45,unemployed,divorced,secondary,3354,yes,no,1,0,unknown,yes
60,blue-collar,divorced,secondary,0,yes,no,1,0,unknown,yes
56,technician,married,secondary,589,yes,no,2,0,unknown,yes
27,management,single,tertiary,12956,yes,no,3,0,unknown,yes
30,admin.,married,secondary,873,yes,no,3,0,unknown,yes
45,blue-collar,divorced,primary,594,yes,no,2,0,unknown,yes
29,blue-collar,single,secondary,-20,yes,no,2,0,unknown,yes
38,management,divorced,tertiary,4692,yes,no,2,0,unknown,yes
30,blue-collar,married,secondary,486,yes,no,3,0,unknown,yes
44,blue-collar,single,primary,1593,yes,no,3,0,unknown,yes
36,management,single,tertiary,7606,yes,no,1,0,unknown,yes
38,technician,married,secondary,226,yes,no,3,0,unknown,yes
36,blue-collar,single,secondary,366,yes,yes,2,0,unknown,yes
37,management,divorced,secondary,16,yes,no,1,0,unknown,yes
35,management,single,tertiary,565,yes,no,1,0,unknown,yes
38,admin.,divorced,secondary,19,yes,no,2,0,unknown,yes
40,services,married,primary,1082,yes,no,2,0,unknown,yes
42,unemployed,divorced,secondary,1713,yes,no,2,0,unknown,yes
46,management,divorced,tertiary,14481,yes,no,1,0,unknown,yes
35,technician,divorced,secondary,5724,yes,no,10,0,unknown,yes
34,technician,divorced,secondary,1451,yes,no,15,0,unknown,yes
32,services,married,secondary,-34,yes,no,2,0,unknown,yes
50,unemployed,married,secondary,3674,yes,no,3,0,unknown,yes
35,blue-collar,married,secondary,698,yes,yes,3,0,unknown,yes
36,technician,single,secondary,4136,yes,no,3,0,unknown,yes
53,blue-collar,divorced,primary,2656,yes,no,2,0,unknown,yes
46,management,single,tertiary,2904,yes,no,2,0,unknown,yes
26,management,single,tertiary,1004,yes,no,2,0,unknown,yes
45,technician,single,secondary,410,yes,no,4,0,unknown,yes
31,unemployed,divorced,primary,0,yes,no,12,0,unknown,yes
29,management,single,tertiary,0,yes,no,12,0,unknown,yes
53,entrepreneur,single,secondary,62,yes,no,5,0,unknown,yes
27,blue-collar,married,primary,416,yes,no,2,0,unknown,yes
39,management,married,tertiary,2763,yes,no,2,0,unknown,yes
36,services,married,secondary,2984,yes,no,1,0,unknown,yes
41,blue-collar,married,primary,143,yes,yes,2,0,unknown,yes
36,services,married,primary,0,yes,no,1,0,unknown,yes
32,technician,married,secondary,696,yes,no,1,0,unknown,yes
35,services,married,secondary,152,yes,no,1,0,unknown,yes
36,management,single,tertiary,-78,yes,no,1,0,unknown,yes
35,management,married,tertiary,867,yes,no,3,0,unknown,yes
30,blue-collar,single,secondary,953,yes,no,2,0,unknown,yes
42,blue-collar,married,secondary,443,yes,no,5,0,unknown,yes
42,technician,single,secondary,-1129,yes,no,5,0,unknown,yes
32,blue-collar,married,primary,415,yes,no,4,0,unknown,yes
29,blue-collar,single,secondary,260,yes,no,14,0,unknown,yes
44,management,divorced,tertiary,-411,yes,no,4,0,unknown,yes
32,technician,single,secondary,1279,yes,no,3,0,unknown,yes
31,unemployed,married,secondary,86,yes,yes,2,0,unknown,yes
40,self-employed,married,secondary,-754,yes,yes,3,0,unknown,yes
43,entrepreneur,married,secondary,0,no,no,7,0,unknown,yes
27,management,single,secondary,178,yes,no,2,0,unknown,yes
37,services,single,secondary,278,yes,no,3,0,unknown,yes
23,services,single,secondary,425,yes,no,1,0,unknown,yes
25,management,married,primary,168,yes,no,1,0,unknown,yes
26,blue-collar,single,secondary,-36,yes,no,2,0,unknown,yes
47,blue-collar,divorced,primary,126,yes,no,2,0,unknown,yes
35,admin.,married,secondary,-87,yes,no,7,0,unknown,yes
32,technician,single,tertiary,6281,yes,no,4,0,unknown,yes
45,management,divorced,secondary,644,yes,no,1,0,unknown,yes
30,admin.,divorced,secondary,377,yes,no,15,0,unknown,yes
29,services,single,secondary,-271,yes,no,1,0,unknown,yes
38,blue-collar,married,primary,5839,yes,no,2,0,unknown,yes
23,blue-collar,single,secondary,492,yes,no,1,0,unknown,yes
27,management,single,tertiary,99,yes,no,2,0,unknown,yes
27,management,single,tertiary,-713,yes,no,2,0,unknown,yes
29,services,single,secondary,32,yes,no,1,0,unknown,yes
30,self-employed,married,tertiary,543,yes,yes,6,0,unknown,yes
36,blue-collar,married,primary,403,yes,no,1,0,unknown,yes
35,admin.,divorced,secondary,437,yes,no,1,0,unknown,yes
36,blue-collar,married,secondary,1772,no,no,1,0,unknown,yes
59,retired,divorced,primary,-88,yes,no,2,0,unknown,yes
47,entrepreneur,married,secondary,0,no,no,1,0,unknown,yes
58,entrepreneur,married,tertiary,853,no,no,2,0,unknown,yes
37,management,single,tertiary,240,no,no,1,0,unknown,yes
46,admin.,single,secondary,849,yes,no,2,0,unknown,yes
43,blue-collar,single,secondary,318,yes,no,2,0,unknown,yes
27,management,single,tertiary,703,yes,no,3,0,unknown,yes
38,services,divorced,secondary,61,no,no,1,0,unknown,yes
53,housemaid,married,primary,104,no,yes,1,0,unknown,yes
47,blue-collar,married,secondary,1996,no,no,2,0,unknown,yes
56,housemaid,divorced,primary,1238,no,no,1,0,unknown,yes
41,housemaid,married,secondary,879,no,no,2,0,unknown,yes
29,self-employed,married,secondary,425,yes,no,15,0,unknown,yes
50,technician,married,secondary,416,yes,no,5,0,unknown,yes
45,blue-collar,divorced,primary,844,no,no,3,0,unknown,yes
35,blue-collar,married,secondary,860,yes,no,4,0,unknown,yes
26,technician,single,secondary,639,yes,no,5,0,unknown,yes
26,admin.,married,secondary,710,yes,yes,2,0,unknown,yes
37,blue-collar,married,unknown,1508,no,yes,2,0,unknown,yes
30,admin.,single,secondary,223,yes,no,11,0,unknown,yes
38,management,single,tertiary,619,yes,no,4,0,unknown,yes
37,services,divorced,secondary,319,yes,no,3,0,unknown,yes
53,technician,married,secondary,480,no,no,2,0,unknown,yes
29,blue-collar,single,primary,213,yes,no,3,0,unknown,yes
35,management,single,tertiary,68,no,no,1,0,unknown,yes
28,blue-collar,married,secondary,2788,yes,no,2,0,unknown,yes
55,blue-collar,married,unknown,7561,no,no,3,0,unknown,yes
49,management,divorced,secondary,-46,yes,no,10,0,unknown,yes
50,services,married,secondary,1595,no,no,1,0,unknown,yes
43,management,single,tertiary,1046,no,no,1,0,unknown,yes
58,self-employed,divorced,tertiary,1382,no,no,1,0,unknown,yes
38,technician,married,primary,217,yes,no,6,0,unknown,yes
48,blue-collar,divorced,primary,183,no,no,1,0,unknown,yes
59,management,married,secondary,1321,no,no,3,0,unknown,yes
58,blue-collar,married,secondary,25,no,no,3,0,unknown,yes
36,self-employed,single,tertiary,4844,no,no,3,0,unknown,yes
42,entrepreneur,married,tertiary,5345,no,no,3,0,unknown,yes
41,admin.,single,secondary,812,no,yes,4,0,unknown,yes
42,admin.,married,secondary,105,no,no,4,0,unknown,yes
39,management,married,tertiary,-190,no,yes,8,0,unknown,yes
57,housemaid,married,primary,625,no,yes,1,0,unknown,yes
52,retired,married,unknown,293,no,no,1,0,unknown,yes
59,retired,married,unknown,1033,no,no,1,0,unknown,yes
56,blue-collar,married,secondary,1210,no,no,1,0,unknown,yes
49,management,married,tertiary,64,no,no,1,0,unknown,yes
35,blue-collar,divorced,unknown,164,no,no,2,0,unknown,yes
36,unemployed,married,secondary,1766,no,no,2,0,unknown,yes
40,admin.,single,tertiary,1248,no,no,2,0,unknown,yes
55,blue-collar,married,secondary,0,no,no,2,0,unknown,yes
58,admin.,married,secondary,826,no,no,1,0,unknown,yes
39,self-employed,married,tertiary,2630,no,no,5,0,unknown,yes
47,housemaid,single,tertiary,3727,no,no,6,0,unknown,yes
40,management,married,secondary,406,yes,no,2,0,unknown,yes
35,blue-collar,married,tertiary,2999,no,no,6,0,unknown,yes
48,blue-collar,married,secondary,1000,yes,no,2,0,unknown,yes
48,management,divorced,tertiary,503,no,yes,7,0,unknown,yes
24,blue-collar,single,secondary,-203,yes,no,3,0,unknown,yes
49,blue-collar,married,primary,361,yes,no,2,0,unknown,yes
36,blue-collar,married,secondary,274,yes,no,11,0,unknown,yes
52,retired,divorced,tertiary,3687,yes,yes,4,0,unknown,yes
42,entrepreneur,single,unknown,323,no,no,1,0,unknown,yes
36,services,married,secondary,981,no,no,1,0,unknown,yes
57,retired,single,primary,604,no,no,1,0,unknown,no
45,admin.,divorced,secondary,0,yes,no,1,0,unknown,no
48,blue-collar,married,secondary,238,yes,yes,2,1,success,no
34,admin.,single,secondary,673,yes,no,1,2,failure,no
37,entrepreneur,married,tertiary,7944,no,no,1,0,unknown,no
32,management,married,tertiary,3696,no,no,3,0,unknown,no
35,self-employed,married,secondary,347,no,no,1,0,unknown,no
31,blue-collar,married,primary,-199,yes,yes,5,10,failure,no
54,technician,married,tertiary,337,yes,no,2,0,unknown,no
52,unemployed,married,secondary,5091,no,no,1,0,unknown,no
29,self-employed,single,secondary,970,yes,no,1,0,unknown,no
34,services,single,secondary,258,yes,no,2,0,unknown,no
37,blue-collar,divorced,secondary,614,yes,no,1,0,unknown,no
66,housemaid,married,secondary,1929,no,no,1,0,unknown,no
33,technician,married,secondary,2362,yes,no,4,0,unknown,no
60,retired,married,secondary,8121,yes,yes,7,0,unknown,no
55,management,divorced,tertiary,608,yes,no,2,0,unknown,no
34,blue-collar,single,secondary,3723,yes,no,5,0,unknown,no
52,blue-collar,married,primary,117,no,yes,2,0,unknown,no
29,services,married,secondary,363,yes,no,1,0,unknown,no
43,services,divorced,secondary,130,yes,no,1,0,unknown,no
57,services,divorced,primary,2225,yes,no,4,0,unknown,no
32,blue-collar,married,primary,-105,yes,yes,19,0,unknown,no
67,unknown,married,tertiary,7687,no,no,3,0,unknown,no
45,services,married,secondary,222,no,no,11,0,unknown,no
47,technician,single,secondary,736,no,no,2,0,unknown,no
31,self-employed,single,tertiary,84,no,no,4,0,unknown,no
52,blue-collar,divorced,primary,196,yes,no,3,0,unknown,no
41,technician,married,secondary,2123,no,no,2,0,unknown,no
35,blue-collar,single,secondary,-482,yes,no,1,0,unknown,no
48,management,divorced,tertiary,700,yes,no,2,0,unknown,no
53,blue-collar,married,primary,1388,no,no,4,0,unknown,no
59,entrepreneur,married,primary,222,no,no,1,0,unknown,no
26,blue-collar,single,secondary,592,yes,yes,1,0,unknown,no
30,management,married,tertiary,0,no,no,2,0,unknown,no
56,self-employed,married,tertiary,411,no,no,4,0,unknown,no
41,blue-collar,divorced,secondary,-104,yes,no,3,0,unknown,no
52,technician,married,secondary,475,yes,no,3,0,unknown,no
35,admin.,single,secondary,181,yes,no,4,1,failure,no
41,management,married,tertiary,653,yes,no,2,0,unknown,no
39,management,married,tertiary,0,yes,no,2,0,unknown,no
51,management,married,tertiary,0,yes,yes,1,1,other,no
46,blue-collar,married,secondary,942,no,no,3,2,failure,no
43,technician,divorced,primary,13,no,yes,4,0,unknown,no
31,technician,single,secondary,200,no,no,2,0,unknown,no
56,unemployed,married,secondary,660,yes,no,3,0,unknown,no
35,entrepreneur,married,secondary,1309,yes,no,3,0,unknown,no
58,self-employed,married,tertiary,-364,yes,no,1,0,unknown,no
33,technician,married,secondary,-616,yes,yes,1,0,unknown,no
36,blue-collar,single,secondary,2596,no,no,6,0,unknown,no
49,entrepreneur,single,secondary,5802,no,no,3,2,success,no
47,technician,married,secondary,568,yes,no,2,0,unknown,no
61,retired,married,primary,296,yes,yes,2,0,unknown,no
45,services,married,secondary,561,yes,no,7,0,unknown,no
53,management,divorced,tertiary,2894,yes,no,1,0,unknown,no
31,management,married,tertiary,2344,yes,no,6,0,unknown,no
35,admin.,married,secondary,1345,yes,no,1,0,unknown,no
55,management,married,tertiary,171,yes,no,6,0,unknown,no
50,technician,married,secondary,1838,yes,yes,8,0,unknown,no
53,unknown,married,unknown,549,no,no,2,0,unknown,no
45,admin.,married,secondary,1097,yes,yes,1,1,failure,no
45,unemployed,married,tertiary,1148,no,no,2,0,unknown,no
32,technician,single,tertiary,3818,no,no,4,0,unknown,no
33,blue-collar,married,primary,934,yes,no,2,0,unknown,no
51,blue-collar,married,primary,-637,yes,yes,2,0,unknown,no
27,housemaid,married,secondary,65,yes,yes,1,0,unknown,no
37,technician,married,secondary,24,yes,no,1,2,failure,no
45,blue-collar,married,primary,907,no,no,8,0,unknown,no
40,blue-collar,married,secondary,100,yes,no,2,0,unknown,no
41,blue-collar,married,primary,686,yes,no,3,0,unknown,no
35,management,single,tertiary,3,yes,yes,1,0,unknown,no
62,retired,married,tertiary,4692,yes,no,1,0,unknown,no
42,technician,married,secondary,-197,yes,no,7,0,unknown,no
38,management,divorced,tertiary,4335,yes,no,1,0,unknown,no
36,technician,single,secondary,664,no,no,3,0,unknown,no
59,services,married,secondary,307,yes,yes,7,0,unknown,no
46,services,divorced,secondary,5,yes,yes,2,0,unknown,no
42,blue-collar,married,primary,-67,yes,no,1,0,unknown,no
27,student,single,secondary,3754,no,no,3,1,other,no
44,technician,married,secondary,1139,yes,no,1,0,unknown,no
32,services,married,secondary,250,yes,no,1,0,unknown,no
32,self-employed,divorced,tertiary,3695,yes,no,1,3,other,no
43,blue-collar,married,secondary,1025,yes,no,1,0,unknown,no
38,management,married,tertiary,328,no,no,2,0,unknown,no
40,services,married,secondary,0,yes,no,1,3,failure,no
44,management,married,tertiary,6203,yes,yes,1,0,unknown,no
49,management,divorced,tertiary,1904,no,yes,2,0,unknown,no
37,management,married,tertiary,347,yes,no,1,0,unknown,no
40,unemployed,married,secondary,1289,no,no,2,0,unknown,no
54,management,divorced,tertiary,129,yes,no,1,0,unknown,no
38,blue-collar,married,primary,178,yes,no,1,0,unknown,no
45,management,married,tertiary,81,no,yes,3,0,unknown,no
49,self-employed,married,tertiary,599,no,no,1,0,unknown,no
46,technician,married,secondary,190,yes,no,2,0,unknown,no
39,blue-collar,married,secondary,0,yes,no,1,0,unknown,no
56,management,married,tertiary,563,yes,no,2,1,failure,no
37,blue-collar,married,secondary,105,yes,no,2,0,unknown,no
39,management,married,tertiary,3518,yes,no,1,0,unknown,no
53,self-employed,married,secondary,248,no,yes,1,3,failure,no
38,blue-collar,married,secondary,961,yes,no,1,0,unknown,no
25,technician,single,tertiary,640,yes,no,2,0,unknown,no
35,technician,married,secondary,1144,no,no,13,0,unknown,no
47,unemployed,married,primary,0,no,no,1,0,unknown,no
40,management,married,tertiary,4381,no,no,2,0,unknown,no
31,self-employed,married,tertiary,1134,no,no,2,0,unknown,no
50,technician,married,primary,570,no,no,3,0,unknown,no
40,blue-collar,married,secondary,0,yes,no,2,0,unknown,no
55,retired,married,tertiary,357,yes,no,1,1,failure,no
31,services,married,secondary,593,yes,no,2,0,unknown,no
59,blue-collar,married,primary,229,yes,yes,1,0,unknown,no
52,management,married,primary,0,no,no,3,0,unknown,no
55,unknown,married,secondary,1157,no,no,1,2,failure,no
49,management,married,tertiary,234,no,no,6,0,unknown,no
31,self-employed,married,tertiary,322,yes,no,1,0,unknown,no
55,entrepreneur,married,secondary,113,yes,no,1,0,unknown,no
38,entrepreneur,married,secondary,2139,yes,no,1,0,unknown,no
52,unemployed,married,secondary,2251,yes,no,9,0,unknown,no
57,management,divorced,unknown,0,no,no,1,0,unknown,no
65,management,divorced,tertiary,2756,no,no,2,0,unknown,no
53,retired,married,tertiary,7132,no,no,2,0,unknown,no
34,technician,single,tertiary,2047,yes,no,5,0,unknown,no
41,self-employed,single,tertiary,0,no,no,1,0,unknown,no
44,unemployed,married,tertiary,1151,yes,no,2,0,unknown,no
49,technician,married,secondary,5244,no,no,4,0,unknown,no
39,technician,married,secondary,1,yes,no,2,0,unknown,no
54,management,married,tertiary,203,no,no,1,0,unknown,no
22,student,single,secondary,2162,no,no,1,0,unknown,no
31,admin.,married,secondary,337,no,no,1,0,unknown,no
53,housemaid,married,unknown,0,no,no,1,0,unknown,no
59,technician,divorced,secondary,2,no,no,2,0,unknown,no
59,admin.,married,secondary,1365,no,no,1,0,unknown,no
56,management,married,tertiary,2366,yes,yes,2,4,failure,no
52,management,divorced,tertiary,-803,yes,no,3,0,unknown,no
57,entrepreneur,divorced,tertiary,873,no,no,3,0,unknown,no
41,admin.,married,secondary,-76,yes,no,1,0,unknown,no
39,housemaid,married,tertiary,2990,no,no,4,0,unknown,no
35,management,divorced,tertiary,538,yes,no,4,0,unknown,no
53,management,divorced,tertiary,6388,yes,no,2,0,unknown,no
35,technician,married,secondary,840,yes,no,4,0,unknown,no
25,technician,single,secondary,1847,no,no,2,0,unknown,no
34,services,married,secondary,40,yes,no,2,0,unknown,no
38,self-employed,married,secondary,30,no,no,1,0,unknown,no
42,management,married,primary,860,yes,no,3,0,unknown,no
28,self-employed,single,secondary,123,yes,no,1,0,unknown,no
35,blue-collar,married,secondary,667,yes,no,5,27,other,no
34,admin.,single,secondary,601,no,no,3,0,unknown,no
32,technician,married,secondary,616,yes,no,7,0,unknown,no
38,entrepreneur,married,unknown,259,no,no,1,0,unknown,no
32,management,single,tertiary,307,no,no,1,3,success,no
41,management,married,tertiary,-29,no,no,2,2,failure,no
41,blue-collar,married,secondary,849,yes,yes,4,0,unknown,no
26,management,single,tertiary,47,yes,no,1,0,unknown,no
60,retired,married,tertiary,2194,yes,no,3,9,failure,no
51,services,married,unknown,3413,no,no,7,0,unknown,no
24,services,single,secondary,1299,yes,yes,2,0,unknown,no
37,blue-collar,married,unknown,622,yes,no,1,0,unknown,no
44,technician,married,secondary,1901,no,no,2,0,unknown,no
74,retired,divorced,primary,166,no,no,1,0,unknown,no
50,technician,married,secondary,1717,no,no,8,0,unknown,no
